(-2313.7107393204237, -6313.1239530118055, 2379.4319273568462)
(-2315.6727609399327, -6315.037874022546, 2372.472122554001)
(-2317.6322376489256, -6316.9448540673075, 2365.509701655586)
(-2319.5891672946404, -6318.844891052981, 2358.544672335625)
(-2321.5435468575206, -6320.737982053577, 2351.5770453719733)
(-2323.4953737601095, -6322.624124581916, 2344.6068299985586)
(-2325.4446480302577, -6324.5033186680985, 2337.634026146332)
(-2327.391365792094, -6326.375560577893, 2330.6586477049755)
(-2329.3355257750936, -6328.24084909436, 2323.6806992612264)
(-2331.2771245480885, -6330.099180932993, 2316.7001931659106)
(-2333.2161612761333, -6331.950555301857, 2309.717132457717)
(-2335.15263383108, -6333.794970169526, 2302.7315248320588)
(-2337.0865392233713, -6335.632422696744, 2295.7433811002297)
(-2339.017875763225, -6337.46291128326, 2288.7527074114582)
(-2340.9466409013075, -6339.28643352086, 2281.7595130293143)
(-2342.872833379556, -6341.102988225063, 2274.7638025519213)
(-2344.796450226771, -6342.91257259982, 2267.7655868043535)
(-2346.7174901873786, -6344.715185469998, 2260.76487038882)
(-2348.6359507250518, -6346.510824459896, 2253.761662579783)
(-2350.5518297339013, -6348.299487604855, 2246.755971098565)
(-2352.4651251128143, -6350.0811729478555, 2239.7478036676603)
(-2354.375834760733, -6351.855878539868, 2232.7371680146357)
(-2356.2839565813565, -6353.623602439455, 2225.7240718682306)
(-2358.189488480798, -6355.384342712985, 2218.708522960292)
(-2360.0924283680542, -6357.138097434614, 2211.6905290253903)
(-2361.992774154536, -6358.884864686276, 2204.670097801168)
(-2363.8905241781486, -6360.624642943755, 2197.647235464099)
(-2365.7856746683074, -6362.357428761329, 2190.6219560082723)
(-2367.678225655091, -6364.083222173659, 2183.594259365599)
(-2369.5681746384853, -6365.802020902864, 2176.564154844803)
(-2371.455519123194, -6367.513822685102, 2169.531651759802)
(-2373.3402557805243, -6369.218624513718, 2162.4967625601053)
(-2375.222384641525, -6370.9164264233095, 2155.4594871767663)
(-2377.10190321961, -6372.607226173377, 2148.4198349316457)
(-2378.9788086158637, -6374.291021163712, 2141.377816718323)
(-2380.8530991898847, -6375.967809930867, 2134.3334387346795)
(-2382.7247724695308, -6377.637590271705, 2127.2867103147746)
(-2384.5938272335, -6379.300361104425, 2120.237636093236)
(-2386.460261015814, -6380.956120239823, 2113.1862254080265)
(-2388.3240721832103, -6382.604866234768, 2106.1324844641126)
(-2390.185257861242, -6384.246596554548, 2099.076424176916)
(-2392.0438164235384, -6385.881309773126, 2092.0180507566693)
(-2393.899745831873, -6387.509004104779, 2084.9573719848627)
(-2395.7530440495575, -6389.129677771703, 2077.8943956466646)
(-2397.60370863203, -6390.7433286456935, 2070.8291311011717)
(-2399.451738785507, -6392.349956038749, 2063.7615814206592)
(-2401.2971308368255, -6393.949556767108, 2056.691760687084)
(-2403.1398844058235, -6395.542130507168, 2049.619670402934)
(-2404.9799962383536, -6397.127674455283, 2042.545323085843)
(-2406.817464319898, -6398.70618688493, 2035.4687265352622)
(-2408.6522870433682, -6400.27766642656, 2028.3898869810298)
(-2410.4844632136146, -6401.842112058945, 2021.3088090747394)
(-2412.313990001892, -6403.399521374156, 2014.2255037741568)
(-2414.1408645908186, -6404.949891984185, 2007.139982040399)
(-2415.9650861967066, -6406.493223234121, 2000.052246957986)
(-2417.786652817812, -6408.029513435167, 1992.9623063392933)
(-2419.6055616450794, -6409.558760227775, 1985.870171156143)
(-2421.4218102826226, -6411.080961610383, 1978.775850806931)
(-2423.235398759839, -6412.596117612861, 1971.6793452206452)
(-2425.046323872766, -6414.104225564649, 1964.5806669566898)
(-2426.8545828330352, -6415.6052831545185, 1957.4798269999194)
(-2428.6601748652724, -6417.09928974952, 1950.3768284414796)
(-2430.4630975873683, -6418.586243385758, 1943.2716806916142)
(-2432.2633486216446, -6420.066142113627, 1936.1643931655967)
(-2434.060927197304, -6421.538985304512, 1929.0549689536379)
(-2435.8558305399774, -6423.0047706930845, 1921.9434190570232)
(-2437.648055486195, -6424.463495710582, 1914.8297560645256)
(-2439.4376028634465, -6425.915161035705, 1907.7139767396277)
(-2441.224467522031, -6427.359762503563, 1900.596101592863)
(-2443.0086502902564, -6428.797300791122, 1893.4761273860377)
(-2444.7901472233693, -6430.227772731318, 1886.3540698900442)
(-2446.5689579569457, -6431.651178037983, 1879.2299306172629)
(-2448.345078955602, -6433.067513894361, 1872.1037237631288)
(-2450.1185098551937, -6434.476780017546, 1864.9754508416627)
(-2451.8892475250705, -6435.878973930183, 1857.8451244699324)
(-2453.657290420911, -6437.2740944192265, 1850.7127509222141)
(-2455.422636211685, -6438.662139657661, 1843.5783396497732)
(-2457.185284140798, -6440.043109057924, 1836.4418937557198)
(-2458.9452314897253, -6441.4170004975995, 1829.3034242819863)
(-2460.7024751568392, -6442.783811571544, 1822.16294386522)
(-2462.457015564258, -6444.143542615898, 1815.0204508455395)
(-2464.208848833695, -6445.496190636645, 1807.875961043291)
(-2465.9579746069303, -6446.8417553649915, 1800.7294759759297)
(-2467.70438902047, -6448.180233843052, 1793.5810114731773)
(-2469.448092494054, -6449.511626400651, 1786.4305658732756)
(-2471.189081948177, -6450.8359306943175, 1779.278151831167)
(-2472.9273550898347, -6452.153144991297, 1772.123778823)
(-2474.6629100157083, -6453.463267863884, 1764.9674547379989)
(-2476.3957455970212, -6454.766298470195, 1757.8091842815281)
(-2478.125859548451, -6456.062235101347, 1750.6489769373345)
